4-30-2018-9:17:19162,t60,0,10
14394,501,8,0F950ED40230022F
14442,123,2,ABCD
14505,501,8,0F9A0ED0022C022F
14633,501,8,0F9F0ED002340231
14650,123,2,ABCD
14746,501,8,0F940ED00231022E
14793,600,1,01
14841,123,2,ABCD
14873,501,8,0F990ED00230022F
15001,501,8,0F960ED002290232
15049,123,2,ABCD
15112,501,8,0F990ED00230022A
15224,501,8,0F960ED0022F022A
15241,123,2,ABCD
15288,600,1,01
15353,501,8,0F950ED002260228
15448,123,2,ABCD
15464,501,8,0F990ED402290230
15592,501,8,0F950ED0022F022E
15640,123,2,ABCD
15704,501,8,0F9A0ED00234022C
15784,600,1,01
15831,501,8,0F980ED0022F0232
15848,123,2,ABCD
15944,501,8,0F9A0ED00230022E
16040,123,2,ABCD
16071,501,8,0F980ED0020401E3
16183,501,8,0F950ED0022B0233
16247,123,2,ABCD
16279,600,1,01
16311,501,8,0F950ED0022E022C
16422,501,8,0F970ED002320232
16439,123,2,ABCD
16551,501,8,0F980ED002290228
16647,123,2,ABCD
16663,501,8,0F990ED0022B022A
16790,600,1,01
16838,123,2,ABCD
16902,501,8,0F9E0ED00232022B
17030,501,8,0F990ED002300232
17052,123,2,ABCD
17142,501,8,0FA00ED00231022E
17254,123,2,ABCD
17270,501,8,0F980ED0022D022B
17285,600,1,01
17382,501,8,0F990ED0022E022E
17445,123,2,ABCD
17510,501,8,0F950ED4022C0233
17622,501,8,0F940ED002290229
17638,123,2,ABCD
17749,501,8,0FA00ED002270228
17782,600,1,01
17845,123,2,ABCD
17861,501,8,0FA00ED00230022A
17988,501,8,0F930ECD0225022B
18053,123,2,ABCD
18100,501,8,0F980ED002300228
18229,501,8,0FA00ED0022B0228
18244,123,2,ABCD
18277,600,1,01
18341,501,8,0F9A0ED0022E022A
18452,123,2,ABCD
18468,501,8,0F9A0ED00229022E
18580,501,8,0F980ED0022C022E
18643,123,2,ABCD
18708,501,8,0F990ED00231022F
18788,600,1,01
18821,501,8,0F9C0ED402280228
18851,123,2,ABCD
18948,501,8,0F950ED4022A022B
19044,123,2,ABCD
19059,501,8,0F9F0ED00230022C
19188,501,8,0F980ED0022F022B
19252,123,2,ABCD
19283,600,1,01
19300,501,8,0F930ED0022F022C
19427,501,8,0F960ED0022B022A
19443,123,2,ABCD
19539,501,8,0F980ED002360228
19651,123,2,ABCD
19668,501,8,0F980ED002340228
19779,600,1,01
19843,123,2,ABCD
19907,501,8,0F9A0ED002340230
20019,501,8,0F960ED0022E022C
20051,123,2,ABCD
20147,501,8,0F9A0ED0022E022C
20242,123,2,ABCD
20259,501,8,0F950ED0022A0220
20290,600,1,01
20386,501,8,0F8F0ED0022D0226
20450,123,2,ABCD
20515,501,8,0F930ED00232022F
20626,501,8,0F9B0ED40230022E
20641,123,2,ABCD
20754,501,8,0FA00ED0022A022A
20792,600,1,01
20853,123,2,ABCD
20866,501,8,0FA00ED0022D022E
20994,501,8,0F990ED0022F0232
21041,123,2,ABCD
21105,501,8,0F9B0ED00230022B
21234,501,8,0F950ED00232022E
21249,123,2,ABCD
21282,600,1,01
21345,501,8,0F960ED0022F022F
21440,123,2,ABCD
21473,501,8,0F910ED0022C022A
21585,501,8,0F930ED0022B0230
21648,123,2,ABCD
21712,501,8,0F990ED0022E022C
21777,600,1,01
21825,501,8,0F980ED40230022A
21840,123,2,ABCD
21956,501,8,0F910ED002300230
22048,123,2,ABCD
22064,501,8,0F980ED4022E0232
22191,501,8,0F9A0ED00226022E
22239,123,2,ABCD
22287,600,1,01
22303,501,8,0F980ED0022B0233
22432,501,8,0F930ED0022F022B
22447,123,2,ABCD
22543,501,8,0F960ED00231022A
22638,123,2,ABCD
22671,501,8,0F980ED0022F0232
22783,600,1,01
22846,123,2,ABCD
22911,501,8,0F920ED0022F022C
23023,501,8,0F980ED0022F0234
23039,123,2,ABCD
23150,501,8,0F990ED0022E0227
23246,123,2,ABCD
23262,501,8,0F960ED0022B022B
23278,600,1,01
23391,501,8,0F9F0ED00234022A
23438,123,2,ABCD
23502,501,8,0F980ED00228022C
23630,501,8,0F980ED00231022A
23646,123,2,ABCD
23742,501,8,0F950ED00224022C
23790,600,1,01
23838,123,2,ABCD
23869,501,8,0F9C0ED0022A0229
23981,501,8,0F9F0ED0022E0228
24046,123,2,ABCD
24109,501,8,0F960ED0022B0223
24221,501,8,0F990ED0022C022C
24237,123,2,ABCD
24285,600,1,01
24348,501,8,0F9F0ED0022C0226
24444,123,2,ABCD
24460,501,8,0F9A0ED0022A0228
24589,501,8,0F990ED0022D022A
24637,123,2,ABCD
24700,501,8,0F980ED0022C022A
24780,600,1,01
24828,501,8,0F9C0ED0022E0230
24844,123,2,ABCD
24940,501,8,0F930ED0022F022B
25052,232,A,1232A
25067,501,8,0F9A0ED00229022B
25180,501,8,0F9A0ED0022C0232
25244,123,2,ABCD
25275,600,1,01
25307,501,8,0F960ED0022E022B
25419,501,8,0F960ED0022F0229
25452,123,2,ABCD
25548,501,8,0F960ED0022F022E
25643,123,2,ABCD
25660,501,8,0F980ED002230226
25787,600,1,01
25851,123,2,ABCD
25899,501,8,0F950ED0022F022C
26026,501,8,0F9C0ED40231022F
26043,123,2,ABCD
26138,501,8,0F980ED00229022C
26250,123,2,ABCD
26267,501,8,0F9F0ED00232022E
26282,600,1,01
26378,501,8,0F980ED0022C022E
26442,123,2,ABCD
26507,501,8,0F9A0ED0022C022B
26618,501,8,0F980ED00229022D
26650,123,2,ABCD
26746,501,8,0F950ED0022A022B
26777,600,1,01
26841,123,2,ABCD
26858,501,8,0F980ED0022C022A
26985,501,8,0F950ED002310232
27049,123,2,ABCD
27097,501,8,0F940ED0022F022B
27226,501,8,0F930ED0022F022B
27241,123,2,ABCD
27273,600,1,01
27338,501,8,0F9F0ED002330232
27449,123,2,ABCD
27465,501,8,0F930ED0022D0228
27577,501,8,0F940ED0022C0232
27640,123,2,ABCD
27704,501,8,0F990ED4022E022A
27785,600,1,01
27816,501,8,0F980ED0022D0227
27849,123,2,ABCD
27944,501,8,0FA00ED0022C0230
28041,123,2,ABCD
28056,501,8,0F980ED0022E022A
28186,501,8,0F990ED00228022A
28249,123,2,ABCD
