1936,123,2,ABCD
1954,420,6,FDB6000702D5
1969,600,1,01
1984,501,8,0FD00EF4029B02A3
2001,6B1,8,0086002C1919009D
2048,420,6,FDB7000702D5
2096,200,1,40
2112,501,8,0FBC0EF302A2029C
2128,123,2,ABCD
2144,420,6,FDB6000602D3
2192,420,6,FDB7000702D5
2208,6B1,8,0086002C1919009D
2223,501,8,0FC00EF402A202A6
2240,420,6,FDB8000902D3
2258,490,3,900000
2304,420,6,FDB7000802D4
2335,123,2,ABCD
2358,420,6,FDB9000602D4
2391,420,6,FDB7000902D4
2408,6B1,8,0086002C1919009D
2439,420,6,FDB5000A02D5
2455,490,3,900000
2470,501,8,0FB40EF402A3029D
2503,420,6,FDB9000602D3
2518,6B1,8,0086002C1919009D
2535,123,2,ABCD
2551,420,6,FDB5000502D6
2582,501,8,0FC40EF4029B02A4
2599,200,1,40
2615,6B1,8,0086002C1919009D
2647,420,6,FDB4000802D4
2695,420,6,FDBA000802D4
2711,501,8,0FC90EF4029E02A2
2726,6B1,8,0086002C1919009D
2742,420,6,FDB7000902D6
2790,420,6,FDB8000802D6
2822,6B1,8,0086002C1919009D
2838,200,1,40
2854,601,4,00010000
2902,FDB,8,000702D4
2934,123,2,ABCD
2957,420,6,FDB5000602D4
2972,600,1,01
2988,420,6,FDB6000A02D5
3036,6B1,8,0086002C1919009D
3052,490,3,900000
3067,501,8,0FBD0EF402A00298
3084,200,1,40
3100,420,6,FDB6000902D4
3132,123,2,ABCD
3148,420,6,FDB9000902D5
3180,501,8,0FB80EF402A0029A
3196,420,6,FDB6000602D5
3253,6B1,8,0086002C1919009D
3301,420,6,FDB8000A02D4
3332,123,2,ABCD
3353,420,6,FDB6000902D3
3385,420,6,FDB6000902D6
3418,501,8,0FB90EF402A302A0
3435,420,6,FDB6000A02D5
3450,490,3,900000
3484,600,1,01
3501,420,6,FDB8000902D4
3530,123,2,ABCD
3554,420,6,FDBA000902D4
3585,200,1,40
3633,420,6,FDB9000702D5
3649,490,3,900000
3664,6B1,8,0086002C1919009D
3697,420,6,FDB6000802D6
3729,123,2,ABCD
3745,420,6,FDB7000802D6
3761,6B1,8,0086002C1919009D
3777,501,8,0FBD0EF402A5029E
3794,420,6,FDB7000902D4
3851,200,1,40
3867,6B1,8,0086002C1919009D
3882,420,6,FDB7000B02D5
3899,501,8,0FBB0EF402A902A4
3915,123,2,ABCD
3947,420,6,FDB9000902D5
3963,6B1,8,0086002C1919009D
3978,600,1,01
3995,420,6,FDB5000802D5
4026,501,8,0FBD0EF402A002A5
4042,420,6,FDB6000802D4
4075,6B1,8,0086002C1919009D
4090,200,1,40
4123,123,2,ABCD
4150,420,6,FDB6000902D7
4181,6B1,8,0086002C1919009D
4246,420,6,FDB6000902D5
4262,501,8,0FBC0EF402A8029B
4277,6B1,8,0086002C1919009D
4307,420,6,FDB9000A02D5
4326,123,2,ABCD
4349,200,1,40
4396,501,8,0FBD0EF402A002A0
4444,420,6,FDB7000B02D5
4475,600,1,01
4492,420,6,FDB8000902D5
4508,501,8,0FB90EF402A3029A
4524,123,2,ABCD
4539,420,6,FDB5000702D4
4587,200,1,40
4620,501,8,0FBF0EF402AA029F
4635,420,6,FDB4000702D6
4683,420,6,FDB8000A02D6
4699,6B1,8,0086002C1919009D
4716,123,2,ABCD
4732,420,6,FDB9000902D3
4752,210,3,900000
4780,420,6,FDB6000902D5
4795,6B1,8,0086002C1919009D
4828,200,1,40
4843,420,6,FDB4000902D6
4859,501,8,0FBC0EF402A3029E
4891,420,6,FDB8000902D7
4907,6B1,8,0086002C1919009D
4923,123,2,ABCD
4939,420,6,FDB6000802D5
4971,600,1,01
4987,420,6,FDB7000702D6
5003,6B1,8,0086002C1919009D
5034,420,6,FDB6000A02D4
5087,200,1,40
5099,501,8,0FB50EFC0290029F
5115,6B1,8,0086002C1919009D
5132,420,6,FDB6000702D4
5179,420,6,FDB7000802D4
5211,501,8,0FC80EF402A202A2
5227,420,6,FDB6000602D4
5242,490,3,900000
5290,420,6,FDB9000702D5
5323,123,2,ABCD
5344,200,1,40
5393,420,6,FDB7000702D5
5424,6B1,8,0086002C1919009D
5441,420,6,FDB6000A02D5
5457,501,8,0FB90EF9029E02A2
5473,600,1,01
5488,420,6,FDB5000602D2
5521,123,2,ABCD
5545,6B1,8,0086002C1919009D
5576,501,8,0FB70EF402B2029E
5651,6B1,8,0086002C1919009D
5700,420,6,FDB7000802D5
5715,123,2,ABCD
5731,490,3,900000
5747,420,6,FDB8000702D4
5795,420,6,FDB3000402D2
5810,501,8,0FBF0EF402A602A4
5827,200,1,40
5843,6B1,8,0086002C1919009D
5892,420,6,FDBD000002DF
5906,123,2,ABCD
5950,501,8,0FBE0EF602A402A1
5983,600,1,01
5998,420,6,FDBB000A02D8
6031,490,3,900000
6061,420,6,FDBB000602D7
6077,200,1,40
6094,420,6,FDBA000902D7
6109,123,2,ABCD
6125,490,3,900000
6142,601,4,00010000
6157,420,6,FDB8000A02D9
6173,501,8,0FB50EFC02A6029A
6207,420,6,FDBA001102D9
6238,490,3,900000
6254,420,6,FDB8000802D6
6286,501,8,0FBF0EF402A1029A
6302,420,6,FDB7000602D0
6317,123,2,ABCD
6333,200,1,40
6350,420,6,FDB7000902D4
6365,6B1,8,0086002C1919009D
6398,420,6,FDB8000402D7
6413,501,8,0FBF0EF402A0029B
6429,490,3,900000
6446,420,6,FDB3000402D6
6462,6B1,8,0086002C1919009D
6477,600,1,01
6493,420,6,FDB6000502D5
6510,123,2,ABCD
6525,501,8,0FB90EF402AB028B
6561,420,6,FDB7000A02D3
6573,6B1,8,0086002C1919009D
6606,420,6,FDB5000202D6
6637,490,3,900000
6654,420,6,FDAA000102CE
6669,6B1,8,0086002C1919009D
6701,420,6,FDB4000C02E5
6719,123,2,ABCD
6735,490,3,900000
6749,420,6,FDBA000002D0
6764,501,8,0FC10EF402A702B2
6781,6B1,8,0086002C1919009D
6797,420,6,FDB7000102D6
6829,200,1,40
6845,420,6,FDB4FFFF02C5
6876,6B1,8,0086002C1919009D
6893,501,8,0FBE0EF002A002A1
6909,123,2,ABCD
6924,490,3,900000
6957,420,6,FDB6000C02C3
6972,600,1,01
6989,6B1,8,0086002C1919009D
7005,420,6,FDBA000A02E0
7036,490,3,900000
7053,420,6,FDB7000B02DF
7068,200,1,40
7084,6B1,8,0086002C1919009D
7101,420,6,FDB7000702CE
7117,123,2,ABCD
7132,501,8,0FBB0EF402A80291
7149,420,6,FDAF001002EE
7196,6B1,8,0086002C1919009D
7228,490,3,900000
7244,420,6,FDB9000B02F3
7292,420,6,FDBB000F02E5
7309,123,2,ABCD
7325,200,1,40
7340,420,6,FDBA000A02B3
7373,501,8,0FB60EF4029F02A0
7404,420,6,FDBA001002EE
7436,390,0,00
7452,420,6,FDBAFFFD02C3
7469,600,1,01
7484,501,8,0FBB0EF402A40292
7500,420,6,FDB8001302DB
7532,490,3,900000
7548,420,6,FDB3000E02C9
7579,200,1,40
7596,420,6,FDBA000602CC
7612,501,8,0FC00EF402A40296
7627,490,3,900000
7644,420,6,FDBB000702D7
7692,420,6,FDB5000902D5
7708,123,2,ABCD
7724,501,8,0FBE0EF402A302B8
7739,420,6,FDB8000002DB
7804,2CF,,
7835,6B1,8,0086002C1919009D
7852,420,6,FDB8000502DF
7899,420,6,FDB8000B02CE
