4-30-2018-9:17:8162,501,8,0F950ED402A2029F
23414,501,8,0F980ED002A702A4
23477,490,3,900000
23542,501,8,0F990ECC02A802A5
23558,123,2,ABCD
23591,490,3,900000
23654,501,8,0FB00ED202A402A2
23685,490,3,900000
23750,123,2,ABCD
23766,600,1,01
23781,200,1,48
23877,490,3,900000
23893,501,8,0F980EBC02C102A3
23957,123,2,ABCD
23989,490,3,900000
24005,501,8,0F940ED002A4029F
24037,200,1,48
24085,490,3,900000
24133,501,8,0F960ED002A902A9
24149,123,2,ABCD
24180,
