4-30-2018-7:20:45109,501,8,0E8A0E9402B502D3
25167,200,1,0A
25184,6B1,8,00DC0007191900CE
25199,501,8,0E1F0E6402A502A2
25263,490,3,900000
25295,6B1,8,00DC0007191900CE
25327,501,8,0E2B0E5C02A902A5
25359,490,3,900000
25391,6B1,8,00DC0007191900CE
25407,200,1,0A
25439,501,8,0E200E5002A302A8
25471,490,3,900000
25502,6B1,8,00DC0007191900CE
25567,490,3,900000
25599,6B1,8,00DC0007191900CE
25674,600,1,01
25690,501,8,0E310E6002AE02C9
25705,6B1,8,00DC0007191900CE
25769,490,3,900000
25802,501,8,0E300E6402A902CA
25865,490,3,900000
25913,6B1,8,00DC0007191900CE
25929,501,8,0E3B0E6702BD02D9
25961,490,3,900000
26009,6B1,8,00DC0007191900CE
26042,501,8,0E350E6602E9030E
26058,490,3,900000
26073,123,2,ABCD
26121,6B1,8,00DC0007191900CE
26154,600,1,01
26176,200,1,0A
26222,6B1,8,00DC0007191900CE
26270,490,3,900000
26286,501,8,0E3D0E74034F0390
26334,6B1,8,00DC0007191900CE
26365,490,3,900000
26413,37A,,t2
26431,6B1,8,00DC0007191900CE
26462,490,3,900000
26525,501,8,0E500E7C0314033A
26542,6B1,8,00DC0007191900CE
26558,490,3,900000
26638,6B1,8,00DC0007191900CE
26654,501,8,0E680E7C0315035F
26669,200,1,4A
26750,6B1,8,00DC0007191900CE
26766,490,3,900000
26845,6B1,8,00DC0007191900CE
26862,490,3,900000
26893,501,8,0E620E84035903B3
26910,200,1,4A
26958,6B1,8,00DC0007191900CE
27006,501,8,0E550E7D036E03E3
27053,6B1,8,00DC0007191900CE
27070,490,3,900000
27133,501,8,0E5A0E84032C0373
27149,600,1,01
27171,6B1,8,00DC0007191900CE
27251,501,8,0E580E8402B302CE
27275,490,3,900000
27355,490,3,900000
27371,210,3,900000
27419,200,1,4A
27481,490,3,900000
27560,490,3,900000
27576,6B1,8,00DC0007191900CE
27608,501,8,0E610E8602E5031A
27656,600,1,01
27672,123,2,ABCD
27720,501,8,0E5C0E8C02EE0335
27768,490,3,900000
27783,6B1,8,00DC0007191900CE
27847,501,8,0E5E0E9402E30316
27864,490,3,900000
27895,6B1,8,00DC0007191900CE
27911,200,1,4A
27960,490,3,900000
27976,501,8,0E3E0E8702D90318
27991,6B1,8,00DC0007191900CE
28055,490,3,900000
28071,123,2,ABCD
28087,501,8,0E600E8C02BC02EA
28103,6B1,8,00DC0007191900CE
28151,600,1,01
28168,200,1,4A
28199,6B1,8,00DC0007191900CE
28215,501,8,0E700E8C02A202B9
28263,490,3,900000
28311,6B1,8,00DC0007191900CE
28327,501,8,0E710E8C029C02AA
28359,490,3,900000
28407,6B1,8,00DC0007191900CE
28456,501,8,0E640E8C02A302B3
28471,123,2,ABCD
28519,6B1,8,00DC0007191900CE
28567,490,3,900000
28615,6B1,8,00DC0007191900CE
28647,600,1,01
28662,200,1,4A
28695,501,8,0E600E8502A202B8
28728,6B1,8,00DC0007191900CE
28758,490,3,900000
28806,501,8,0E5F0E8C02B302DA
28822,6B1,8,00DC0007191900CE
28855,490,3,900000
28870,123,2,ABCD
28918,200,1,4A
28934,6B1,8,00DC0007191900CE
28966,490,3,900000
29030,6B1,8,00DC0007191900CE
29047,501,8,0E680E8702DC032A
29062,490,3,900000
29142,6B1,8,00DC0007191900CE
29159,600,1,01
29174,501,8,0E5F0E8502FC0333
29238,6B1,8,00DC0007191900CE
29255,490,3,900000
29270,123,2,ABCD
29286,501,8,0E6B0E8C030C034C
29350,6B1,8,00DC0007191900CE
29367,490,3,900000
29413,501,8,0E680E9003100355
29446,6B1,8,00DC0007191900CE
29462,490,3,900000
29526,501,8,0E6A0E8C030F0363
29558,6B1,8,00DC0007191900CE
29669,501,8,0E6A0E8C02F50338
29779,6B1,8,00DC0007191900CE
29858,490,3,900000
29874,123,2,ABCD
29890,501,8,0E680E8C02D202F7
29906,200,1,4A
29954,490,3,900000
29970,210,3,900000
30018,501,8,0E5F0E9002E20305
30081,490,3,900000
30129,501,8,0E690E9002E60313
30160,600,1,01
30177,6B1,8,00DC0007191900CE
30257,501,8,0E680E940303032B
30272,123,2,ABCD
30368,490,3,900000
30385,6B1,8,00DC0007191900CE
30416,200,1,4A
30464,490,3,900000
30480,6B1,8,00DC0007191900CE
30497,501,8,0E620E92031A0370
30562,490,3,900000
30593,6B1,8,00DC0007191900CE
